Practice ID,Practice Type,Driver ID,Event ID,Position,Time,Laps Completed
1,1,1,1,1,1:32.758,21
2,1,2,1,2,1:33.196,22
3,1,0,1,3,1:33.375,21
4,1,16,1,4,1:34.165,21
5,1,18,1,5,1:34.257,17
6,1,5,1,6,1:34.298,17
7,1,12,1,7,1:34.402,20
8,1,15,1,8,1:34.575,18
9,1,7,1,9,1:34.689,20
10,1,4,1,10,1:34.917,13
11,1,6,1,11,1:34.966,20
12,1,19,1,12,1:34.997,24
13,1,10,1,13,1:35.015,20
14,1,14,1,14,1:35.043,22
15,1,17,1,15,1:35.105,20
16,1,13,1,16,1:35.402,25
17,1,8,1,17,1:35.455,22
18,1,11,1,18,1:35.749,24
19,1,9,1,19,1:36.018,15
20,1,3,1,20,1:36.072,21
21,1,0,2,1,1:29.617,18
22,1,1,2,2,1:30.100,20
23,1,2,2,3,1:30.315,22
24,1,5,2,4,1:30.577,20
25,1,6,2,5,1:30.771,26
26,1,4,2,6,1:30.787,26
27,1,3,2,7,1:30.924,23
28,1,8,2,8,1:30.949,24
29,1,9,2,9,1:31.030,23
30,1,10,2,10,1:31.110,25
31,1,18,2,11,1:31.118,26
32,1,17,2,12,1:31.181,22
33,1,13,2,13,1:31.450,29
34,1,19,2,14,1:31.491,24
35,1,14,2,15,1:31.552,22
36,1,12,2,16,1:31.566,23
37,1,11,2,17,1:31.922,26
38,1,7,2,18,1:31.970,25
39,1,15,2,19,1:31.986,22
40,1,16,2,20,1:32.149,21
41,1,0,3,1,1:18.790,17
42,1,4,3,2,1:19.223,20
43,1,1,3,3,1:19.293,19
44,1,2,3,4,1:19.317,23
45,1,18,3,5,1:19.378,16
46,1,3,3,6,1:19.505,20
47,1,16,3,7,1:19.536,16
48,1,8,3,8,1:19.646,22
49,1,6,3,9,1:19.699,23
50,1,5,3,10,1:19.766,19
51,1,9,3,11,1:19.766,21
52,1,19,3,12,1:19.777,22
53,1,14,3,13,1:19.806,19
54,1,13,3,14,1:19.933,25
55,1,11,3,15,1:20.074,21
56,1,17,3,16,1:20.175,20
57,1,10,3,17,1:20.399,14
58,1,7,3,18,1:20.419,21
59,1,15,3,19,1:20.569,22
60,1,12,3,20,1:21.147,17
61,1,0,4,1,1:42.315,22
62,1,18,4,2,1:42.352,21
63,1,1,4,3,1:42.454,22
64,1,3,4,4,1:42.899,23
65,1,16,4,5,1:43.125,22
66,1,13,4,6,1:43.414,24
67,1,5,4,7,1:43.455,23
68,1,2,4,8,1:43.560,20
69,1,9,4,9,1:43.628,25
70,1,15,4,10,1:43.748,23
71,1,4,4,11,1:43.798,21
72,1,19,4,12,1:43.980,23
73,1,7,4,13,1:44.010,23
74,1,10,4,14,1:44.137,18
75,1,14,4,15,1:44.323,21
76,1,11,4,16,1:44.900,16
77,1,6,4,17,1:45.082,20
78,1,17,4,18,1:45.955,8
79,1,8,4,19,1:46.321,7
80,1,12,4,20,1:47.498,8
81,1,6,5,1,1:30.125,18
82,1,4,5,2,1:30.337,24
83,1,18,5,3,1:30.449,23
84,1,0,5,4,1:30.549,22
85,1,3,5,5,1:30.724,23
86,1,8,5,6,1:31.104,20
87,1,2,5,7,1:31.231,24
88,1,5,5,8,1:31.337,24
89,1,14,5,9,1:31.392,14
90,1,17,5,10,1:31.542,27
91,1,1,5,11,1:31.566,22
92,1,19,5,12,1:31.810,24
93,1,12,5,13,1:31.853,25
94,1,7,5,14,1:31.902,24
95,1,9,5,15,1:31.903,25
96,1,16,5,16,1:31.997,23
97,1,15,5,17,1:32.134,22
98,1,10,5,18,1:32.169,28
99,1,11,5,19,1:32.619,27
100,1,13,5,20,1:34.637,10
101,1,3,6,1,1:13.372,26
102,1,2,6,2,1:13.710,28
103,1,4,6,3,1:14.035,27
104,1,1,6,4,1:14.038,27
105,1,18,6,5,1:14.093,24
106,1,0,6,6,1:14.244,26
107,1,16,6,7,1:14.467,25
108,1,17,6,8,1:14.585,29
109,1,5,6,9,1:14.653,28
110,1,9,6,10,1:14.666,32
111,1,7,6,11,1:14.718,29
112,1,12,6,12,1:14.725,29
113,1,10,6,13,1:14.820,29
114,1,8,6,14,1:14.866,30
115,1,6,6,15,1:15.066,24
116,1,13,6,16,1:15.083,33
117,1,19,6,17,1:15.192,32
118,1,11,6,18,1:15.557,30
119,1,15,6,19,1:15.684,25
120,1,14,6,20,1:15.785,17
121,1,0,7,1,1:14.606,32
122,1,1,7,2,1:15.374,32
123,1,17,7,3,1:15.418,28
124,1,13,7,4,1:15.504,27
125,1,8,7,5,1:15.545,27
126,1,2,7,6,1:15.547,24
127,1,12,7,7,1:15.689,22
128,1,18,7,8,1:15.694,28
129,1,3,7,9,1:15.726,27
130,1,6,7,10,1:15.753,32
131,1,16,7,11,1:15.783,25
132,1,4,7,12,1:15.845,29
133,1,15,7,13,1:15.906,24
134,1,10,7,14,1:15.915,27
135,1,5,7,15,1:15.939,25
136,1,7,7,16,1:15.978,24
137,1,19,7,17,1:16.353,26
138,1,14,7,18,1:16.461,28
139,1,11,7,19,1:16.506,30
140,1,9,7,20,1:16.630,28
141,1,7,8,1,1:18.728,3
142,1,5,8,2,1:19.175,3
143,1,2,8,3,1:19.807,3
144,1,1,8,4,1:20.154,3
145,1,0,8,5,1:20.231,3
146,1,19,8,6,1:21.496,3
147,1,12,8,7,1:24.045,3
148,1,14,8,8,1:24.336,3
149,1,15,8,9,1:24.961,3
150,1,3,8,10,1:25.991,3
151,1,18,8,11,1:26.809,3
152,1,13,8,12,1:32.274,3
153,1,10,8,13,,2
154,1,16,8,14,,2
155,1,8,8,15,,1
156,1,9,8,16,,1
157,1,11,8,17,,2
158,1,0,9,1,1:05.742,30
159,1,3,9,2,1:05.983,32
160,1,18,9,3,1:06.012,33
161,1,4,9,4,1:06.251,34
162,1,1,9,5,1:06.262,32
163,1,5,9,6,1:06.340,29
164,1,12,9,7,1:06.497,27
165,1,2,9,8,1:06.656,31
166,1,6,9,9,1:06.696,28
167,1,15,9,10,1:06.780,33
168,1,9,9,11,1:06.794,23
169,1,19,9,12,1:06.809,36
170,1,14,9,13,1:06.846,30
171,1,7,9,14,1:06.847,33
172,1,10,9,15,1:06.985,34
173,1,13,9,16,1:07.017,36
174,1,11,9,17,1:07.018,25
175,1,17,9,18,1:07.202,30
176,1,8,9,19,1:07.287,28
177,1,16,9,20,1:07.368,20
178,1,0,10,1,1:28.600,26
179,1,1,10,2,1:29.048,22
180,1,9,10,3,1:29.089,22
181,1,2,10,4,1:29.268,21
182,1,18,10,5,1:29.280,25
183,1,17,10,6,1:29.319,23
184,1,3,10,7,1:29.357,25
185,1,16,10,8,1:29.441,25
186,1,5,10,9,1:29.471,26
187,1,19,10,10,1:29.658,16
188,1,13,10,11,1:29.691,26
189,1,4,10,12,1:29.768,23
190,1,8,10,13,1:29.828,24
191,1,6,10,14,1:29.874,28
192,1,7,10,15,1:30.090,22
193,1,10,10,16,1:30.092,28
194,1,11,10,17,1:30.124,24
195,1,15,10,18,1:30.321,20
196,1,12,10,19,1:30.385,21
197,1,14,10,20,1:30.591,22
198,1,6,11,1,1:38.795,13
199,1,19,11,2,1:39.154,14
200,1,5,11,3,1:40.013,10
201,1,16,11,4,1:40.277,13
202,1,2,11,5,1:40.687,8
203,1,7,11,6,1:41.032,14
204,1,18,11,7,1:41.142,11
205,1,15,11,8,1:41.363,9
206,1,11,11,9,1:41.416,15
207,1,14,11,10,1:42.706,12
208,1,12,11,11,1:42.906,14
209,1,10,11,12,1:45.575,7
210,1,9,11,13,1:47.403,10
211,1,20,11,14,,7
212,1,3,11,15,,6
213,1,1,11,16,,2
214,1,17,11,17,,4
215,1,8,11,18,,3
216,1,0,11,19,,4
217,1,4,11,20,,3
218,1,3,12,1,2:03.207,9
219,1,19,12,2,2:03.792,4
220,1,16,12,3,2:04.484,4
221,1,18,12,4,2:08.148,8
222,1,1,12,5,2:08.240,5
223,1,9,12,6,2:08.394,5
224,1,10,12,7,2:09.067,8
225,1,12,12,8,2:09.229,7
226,1,20,12,9,2:09.319,7
227,1,14,12,10,2:10.042,8
228,1,2,12,11,2:10.283,4
229,1,4,12,12,2:10.299,7
230,1,6,12,13,2:10.475,7
231,1,7,12,14,2:12.085,9
232,1,15,12,15,2:14.002,8
233,1,11,12,16,,4
234,1,5,12,17,,5
235,1,8,12,18,,2
236,1,17,12,19,,2
237,1,0,12,20,,2
238,1,0,13,1,1:11.852,31
239,1,2,13,2,1:12.130,22
240,1,4,13,3,1:12.225,24
241,1,1,13,4,1:12.323,27
242,1,9,13,5,1:12.447,25
243,1,16,13,6,1:12.460,22
244,1,11,13,7,1:12.617,30
245,1,19,13,8,1:12.658,21
246,1,10,13,9,1:12.749,21
247,1,17,13,10,1:12.802,29
248,1,6,13,11,1:12.813,23
249,1,8,13,12,1:12.895,30
250,1,20,13,13,1:12.990,26
251,1,12,13,14,1:13.322,30
252,1,7,13,15,1:13.448,30
253,1,18,13,16,1:13.519,26
254,1,15,13,17,1:13.826,20
255,1,14,13,18,1:14.023,13
256,1,22,13,19,1:14.803,25
257,1,5,13,20,,2
258,1,0,14,1,1:22.657,31
259,1,3,14,2,1:22.703,28
260,1,1,14,3,1:22.834,30
261,1,18,14,4,1:22.966,22
262,1,6,14,5,1:23.189,28
263,1,2,14,6,1:23.214,24
264,1,16,14,7,1:23.241,22
265,1,4,14,8,1:23.269,26
266,1,10,14,9,1:23.271,23
267,1,9,14,10,1:23.444,18
268,1,19,14,11,1:23.446,24
269,1,11,14,12,1:23.661,21
270,1,21,14,13,1:23.833,29
271,1,8,14,14,1:23.931,26
272,1,7,14,15,1:23.952,17
273,1,14,14,16,1:24.067,23
274,1,17,14,17,1:24.090,26
275,1,23,14,18,1:24.140,24
276,1,12,14,19,1:24.217,24
277,1,15,14,20,1:24.232,17
278,1,18,15,1,1:33.350,25
279,1,3,15,2,1:33.428,24
280,1,0,15,3,1:33.476,22
281,1,16,15,4,1:33.522,24
282,1,4,15,5,1:33.540,21
283,1,6,15,6,1:33.695,25
284,1,1,15,7,1:33.725,22
285,1,2,15,8,1:33.974,28
286,1,10,15,9,1:34.042,25
287,1,17,15,10,1:34.066,24
288,1,5,15,11,1:34.568,25
289,1,8,15,12,1:34.639,23
290,1,9,15,13,1:34.657,19
291,1,7,15,14,1:34.802,25
292,1,12,15,15,1:34.887,23
293,1,21,15,16,1:34.894,27
294,1,14,15,17,1:34.985,22
295,1,15,15,18,1:35.456,25
296,1,19,15,19,1:35.474,22
297,1,11,15,20,1:35.778,24
298,1,0,16,1,1:31.647,25
299,1,3,16,2,1:32.273,24
300,1,16,16,3,1:32.392,24
301,1,18,16,4,1:32.574,25
302,1,10,16,5,1:32.597,21
303,1,2,16,6,1:32.650,23
304,1,19,16,7,1:32.713,26
305,1,9,16,8,1:32.991,24
306,1,21,16,9,1:33.005,28
307,1,5,16,10,1:33.040,17
308,1,1,16,11,1:33.043,25
309,1,8,16,12,1:33.129,23
310,1,6,16,13,1:33.310,24
311,1,14,16,14,1:33.448,24
312,1,17,16,15,1:33.516,22
313,1,4,16,16,1:33.699,22
314,1,7,16,17,1:33.860,24
315,1,12,16,18,1:33.975,23
316,1,11,16,19,1:34.212,27
317,1,15,16,20,1:34.831,23
318,1,0,17,1,1:27.428,26
319,1,3,17,2,1:27.762,27
320,1,18,17,3,1:27.909,27
321,1,2,17,4,1:27.919,28
322,1,1,17,5,1:28.016,24
323,1,10,17,6,1:28.027,28
324,1,14,17,7,1:28.171,22
325,1,6,17,8,1:28.336,28
326,1,19,17,9,1:28.380,20
327,1,16,17,10,1:28.441,24
328,1,11,17,11,1:28.550,25
329,1,9,17,12,1:28.590,26
330,1,4,17,13,1:28.679,26
331,1,5,17,14,1:28.690,28
332,1,17,17,15,1:28.732,25
333,1,8,17,16,1:28.821,23
334,1,7,17,17,1:29.041,27
335,1,15,17,18,1:29.106,29
336,1,21,17,19,1:29.238,29
337,1,12,17,20,1:29.502,26
338,1,0,18,1,1:35.912,23
339,1,18,18,2,1:36.068,25
340,1,4,18,3,1:36.193,23
341,1,1,18,4,1:36.212,23
342,1,12,18,5,1:36.472,21
343,1,6,18,6,1:36.474,25
344,1,9,18,7,1:36.492,21
345,1,3,18,8,1:36.533,24
346,1,14,18,9,1:36.702,21
347,1,8,18,10,1:36.705,22
348,1,11,18,11,1:36.987,26
349,1,17,18,12,1:37.066,22
350,1,10,18,13,1:37.104,25
351,1,20,18,14,1:37.152,24
352,1,16,18,15,1:37.256,21
353,1,15,18,16,1:37.418,25
354,1,7,18,17,1:37.517,24
355,1,2,18,18,1:37.840,19
356,1,19,18,19,1:38.420,22
357,1,5,18,20,1:39.940,5
358,2,2,1,1,1:30.907,25
359,2,0,1,2,1:31.076,24
360,2,1,1,3,1:31.078,26
361,2,18,1,4,1:31.367,26
362,2,14,1,5,1:31.376,25
363,2,5,1,6,1:31.450,28
364,2,8,1,7,1:31.475,24
365,2,4,1,8,1:31.543,27
366,2,16,1,9,1:31.570,27
367,2,15,1,10,1:31.586,27
368,2,17,1,11,1:31.608,25
369,2,7,1,12,1:31.793,28
370,2,6,1,13,1:31.882,25
371,2,3,1,14,1:31.956,28
372,2,19,1,15,1:32.024,27
373,2,12,1,16,1:32.110,18
374,2,9,1,17,1:32.440,28
375,2,10,1,18,1:32.525,27
376,2,13,1,19,1:32.605,28
377,2,11,1,20,1:32.749,29
378,2,0,2,1,1:29.603,29
379,2,2,2,2,1:29.811,26
380,2,1,2,3,1:29.902,26
381,2,17,2,4,1:30.039,27
382,2,6,2,5,1:30.070,27
383,2,8,2,6,1:30.100,28
384,2,5,2,7,1:30.110,27
385,2,14,2,8,1:30.181,27
386,2,18,2,9,1:30.341,28
387,2,3,2,10,1:30.592,29
388,2,4,2,11,1:30.599,27
389,2,16,2,12,1:30.721,27
390,2,10,2,13,1:30.776,30
391,2,9,2,14,1:30.810,27
392,2,12,2,15,1:30.820,25
393,2,15,2,16,1:30.837,27
394,2,13,2,17,1:30.921,29
395,2,11,2,18,1:30.959,30
396,2,19,2,19,1:30.964,26
397,2,7,2,20,1:31.052,30
398,2,2,3,1,1:18.887,13
399,2,18,3,2,1:19.332,10
400,2,0,3,3,1:19.502,12
401,2,6,3,4,1:19.672,20
402,2,3,3,5,1:19.695,12
403,2,17,3,6,1:19.725,12
404,2,1,3,7,1:20.083,15
405,2,16,3,8,1:20.176,20
406,2,14,3,9,1:20.194,19
407,2,8,3,10,1:20.206,12
408,2,10,3,11,1:20.220,18
409,2,7,3,12,1:20.312,22
410,2,4,3,13,1:20.323,17
411,2,19,3,14,1:20.380,24
412,2,15,3,15,1:20.470,22
413,2,5,3,16,1:20.579,15
414,2,13,3,17,1:20.600,8
415,2,9,3,18,1:21.182,18
416,2,12,3,19,1:21.266,18
417,2,0,5,1,1:27.930,23
418,2,3,5,2,1:28.315,26
419,2,18,5,3,1:28.398,20
420,2,1,5,4,1:28.419,24
421,2,2,5,5,1:28.660,25
422,2,16,5,6,1:28.741,24
423,2,4,5,7,1:28.858,23
424,2,5,5,8,1:28.930,23
425,2,17,5,9,1:28.937,25
426,2,9,5,10,1:29.046,26
427,2,8,5,11,1:29.098,22
428,2,12,5,12,1:29.171,22
429,2,15,5,13,1:29.181,27
430,2,7,5,14,1:29.189,26
431,2,6,5,15,1:29.216,21
432,2,19,5,16,1:29.339,24
433,2,14,5,17,1:29.393,22
434,2,10,5,18,1:29.613,25
435,2,13,5,19,1:29.928,25
436,2,11,5,20,1:30.038,27
437,2,0,6,1,1:12.462,30
438,2,18,6,2,1:12.527,33
439,2,3,6,3,1:12.569,22
440,2,2,6,4,1:12.682,32
441,2,16,6,5,1:12.906,18
442,2,4,6,6,1:12.960,29
